"hgnc_symbol","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"TSPAN6","ENSG00000000003",3104.1217627575,-0.595459895363166,0.0915673284426036,6.02483232119842e-11,1.47248637316188e-10,"Not significant"
"TNMD","ENSG00000000005",154.206084546975,-3.45400276769267,0.250587426851486,1.33991587326855e-43,1.32591296599774e-42,"Down regulated"
"DPM1","ENSG00000000419",2303.07599466026,0.450083725587966,0.0557374644360135,5.74245270411166e-16,1.83396381485096e-15,"Not significant"
"SCYL3","ENSG00000000457",1566.26486740349,0.387643248824162,0.0562612083818125,5.28308151681146e-12,1.37381146627215e-11,"Not significant"
"FIRRM","ENSG00000000460",694.214961345919,1.3263666385449,0.0755645098332618,2.58695639955697e-69,5.6622712350102e-68,"Up regulated"
"FGR","ENSG00000000938",578.268638939991,-0.447101072937178,0.0998472953653466,6.18178442508669e-06,1.09961036050378e-05,"Not significant"
"CFH","ENSG00000000971",3438.09179764379,-1.41443235620605,0.100833932474601,3.09125821805941e-45,3.25491306489785e-44,"Down regulated"
"FUCA2","ENSG00000001036",2611.91377320133,0.428084164643882,0.0672035255251166,1.91233784505789e-10,4.54212825981487e-10,"Not significant"
"GCLC","ENSG00000001084",2257.84270707377,-0.363473690996106,0.06787272364592,7.38405375722943e-08,1.49616111716106e-07,"Not significant"
"NFYA","ENSG00000001167",3119.01473191286,0.639324007757206,0.0635994385194614,8.86501822406517e-24,4.05741482080068e-23,"Not significant"
"STPG1","ENSG00000001460",673.17024894727,-0.0359400856295505,0.0499468838055965,0.466688853731694,0.505154344906564,"Not significant"
"NIPAL3","ENSG00000001461",2896.24617682766,-0.24382035438152,0.0733821415285165,0.000662302515878923,0.00100462092692436,"Not significant"
"LAS1L","ENSG00000001497",3375.51987805807,0.471841023054326,0.0470074234055329,8.6986498523468e-24,3.98615667615696e-23,"Not significant"
"ENPP4","ENSG00000001561",1835.49683327165,-0.191525466211907,0.102817705458296,0.0599378181086737,0.0743857412124646,"Not significant"
"SEMA3F","ENSG00000001617",6075.79017246401,1.13677266898496,0.0824369597176984,1.30668127452391e-43,1.29400562441864e-42,"Up regulated"
"CFTR","ENSG00000001626",67.8858180658798,-0.567260520416697,0.213812209192056,0.000849649130496801,0.00127701462942279,"Not significant"
"ANKIB1","ENSG00000001629",4664.71284729892,0.220103073779294,0.0553975029641611,7.10025458031061e-05,0.000116359223177925,"Not significant"
