"Gene","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"VEGFD",5.03918841414074,10.8995752273041,-5.86038681316336,1.57350996777437e-67,1.79380136326279e-65
"HIF3A",4.87406688146206,9.42750015845531,-4.55343327699325,1.49169976174877e-62,8.50268864196799e-61
"FOXO1",10.2156988268924,11.9363274841625,-1.7206286572701,6.59141161433078e-60,2.5047364134457e-58
"ANGPT4",4.68685291278254,7.62586363330426,-2.93901072052172,5.52686555840156e-59,1.57515668414444e-57
"FGF2",7.83540321201085,11.4471860937217,-3.61178288171085,3.72237040084146e-58,8.48700451391853e-57
"EGFR",10.463286986826,13.500595598794,-3.037308611968,5.19522887008277e-58,9.87093485315726e-57
"AOC3",10.3681392064471,13.9694478185174,-3.6013086120703,5.58696190937047e-57,9.09876653811762e-56
"LOXL4",7.65874325015059,10.4251856155155,-2.76644236536491,7.94043339727262e-54,1.13151175911135e-52
"ANGPT1",7.34688238377023,10.1392867561787,-2.79240437240847,4.65513603068002e-51,5.89650563886136e-50
"PIK3R1",12.739362617379,14.3806110116038,-1.6412483942248,2.06122376198221e-50,2.34979508865972e-49
"HES6",8.45981247711323,6.1916742936487,2.26813818346453,2.45760169740758e-50,2.54696903185877e-49
"COA6",9.92070465720419,8.89137633127344,1.02932832593075,9.03313710897539e-49,8.58148025352662e-48
"IGF1",6.5782515363417,9.0355477494759,-2.4572962131342,5.03912467125163e-48,4.41892471171297e-47
"FOXO4",10.370144159146,11.4856895801659,-1.1155454210199,6.78908730703165e-48,5.52825680715435e-47
"AOC2",5.68957353764981,7.34893543659818,-1.65936189894837,1.19753319818268e-42,9.10125230618835e-42
"PKM",15.7927978514609,14.8830027312638,0.909795120197101,6.09123744073595e-41,4.34000667652436e-40
"CUTC",9.37147325871354,10.1606564731312,-0.78918321441766,6.97000173856178e-40,4.67400116585908e-39
"SESN1",10.4658682892571,11.3569438784845,-0.8910755892274,4.45115436303418e-39,2.81906442992165e-38
"PIK3C2G",6.55336762236407,10.6250883741512,-4.07172075178713,3.60500576929904e-37,2.16300346157942e-36
"FOXO6",8.37497223686457,7.02140480357344,1.35356743329113,7.14409307483941e-37,4.07213305265846e-36
"PDE3B",7.98833046336534,10.9899178361681,-3.00158737280276,2.8715041529225e-35,1.55881654015793e-34
"IL6",5.67518069506159,8.60680588277294,-2.93162518771135,1.24056721930432e-32,6.42839377275876e-32
"HEY2",8.20302050228369,9.97963000145739,-1.7766094991737,4.17637254492692e-31,2.07002813096378e-30
"STEAP4",10.1362789488518,12.4145792500708,-2.278300301219,1.18591870713143e-30,5.63311385887428e-30
"CDKN2A",8.57351519876999,7.27830534892344,1.29520984984655,2.75444895664221e-30,1.25602872422885e-29
"LOXL1",11.4047704630269,10.0913233486957,1.3134471143312,4.53204812495201e-30,1.98712879324819e-29
"SLC25A37",10.8654070648398,11.9669373409356,-1.1015302760958,2.58835744283186e-29,1.0928620314179e-28
"SESN3",11.4965319930211,12.7786890382882,-1.2821570452671,5.31461950885863e-29,2.16380937146387e-28
"LIPT1",7.86056521036855,8.35345520832483,-0.492889997956279,7.74847591970876e-29,3.04595260292e-28
"MYC",11.9650018577821,13.2105802131393,-1.2455783553572,2.74062332836861e-27,1.04143686478007e-26
"KRAS",11.6173991375632,11.0594468627243,0.5579522748389,3.40213177514994e-27,1.25110652376482e-26
"ULK3",11.0522524825835,10.4887079152794,0.563544567304099,1.25354159333965e-26,4.46574192627251e-26
"LIAS",9.16903909049009,9.62504368358345,-0.456004593093359,6.81929627418915e-26,2.35575689471989e-25
"PIK3CA",11.0042226466216,11.6276002900552,-0.623377643433601,8.39083889777466e-26,2.81339892454798e-25
"COX17",10.5616024253749,9.89766001215154,0.66394241322336,1.43194632623287e-25,4.66405374830135e-25
"RYR1",7.72497264039825,9.32818600697262,-1.60321336657437,2.25193434626589e-25,7.13112542984198e-25
"FDXR",9.6976171703964,8.77778746569615,0.91982970470025,2.49535895598094e-25,7.68840326977912e-25
"BRCA1",10.0220249853046,9.20105647089276,0.82096851441184,3.27628265237191e-25,9.82884795711573e-25
"ISCU",11.9163591869693,12.3158021688979,-0.399442981928599,6.06160986732509e-25,1.77185519198733e-24
"IGF2",6.47691986431209,7.99714223969547,-1.52022237538338,7.91798153893777e-25,2.25662473859726e-24
"TIMP1",13.8715824184759,12.9183429364393,0.953239482036599,6.44608864922101e-24,1.79232708783218e-23
"VEGFC",9.04051008097702,9.84777037201374,-0.807260291036719,1.58190211418697e-23,4.29373430993607e-23
"FLT1",11.3787154913989,12.1876327255786,-0.808917234179701,1.82573619738417e-22,4.84032387213477e-22
"STEAP1",8.89465363803654,10.0301956461394,-1.13554200810286,2.93557690339844e-22,7.60581288607778e-22
"HEY1",8.99023926744406,9.82366787198506,-0.833428604541,1.29439031403206e-21,3.27912212888122e-21
"PIK3R3",12.5670228812587,11.9090345149159,0.657988366342799,2.63450113339514e-20,6.52898106971839e-20
"PIK3C2B",11.291708851145,11.7702429184711,-0.4785340673261,1.55443459717604e-18,3.77033072506528e-18
"SCO2",4.13191549666976,3.57766840975544,0.55424708691432,1.38903078712708e-16,3.29894811942681e-16
"PIK3C3",11.1920274209306,11.5315361305039,-0.3395087095733,3.22232378332094e-16,7.49683492446096e-16
"FOXO3",12.3354817919224,12.7335923833547,-0.398110591432301,5.47545544782574e-16,1.24840384210427e-15
