"Gene","GeneSet","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"A2M","GSE9988_LPS_VS_LOW_LPS_MONOCYTE_UP",14.8189278216165,16.302748852383,-1.4838210307665,2.77472358316413e-50,2.92887489333992e-49
"A2M-AS1","GSE25088_CTRL_VS_IL4_STIM_MACROPHAGE_UP",6.16355806011522,7.38690626149341,-1.22334820137819,4.33421131311304e-49,4.69066076182204e-48
"AADAC","GSE9946_IMMATURE_VS_PROSTAGLANDINE2_TREATED_MATURE_DC_DN",3.55147149172594,6.41049047980351,-2.85901898807757,7.8781501508088e-35,3.12996776261863e-34
"AADACL2","GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_DN",2.71762148018043,4.03573210019025,-1.31811062000982,6.82923623486454e-46,9.02434788178528e-45
"AADACP1","GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_UP",3.46768835119503,4.69908221553775,-1.23139386434272,2.44118326527493e-50,4.78471919993886e-49
"AASS","GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN",9.0769735725609,10.905574678141,-1.8286011055801,3.24011103679028e-57,6.44782096321266e-56
"AASS","GSE360_L_DONOVANI_VS_T_GONDII_MAC_DN",9.0769735725609,10.905574678141,-1.8286011055801,3.24011103679028e-57,6.44782096321266e-56
"ABCA1","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN",11.1128518346996,12.2407649972858,-1.1279131625862,8.85996965808375e-24,2.25408051595366e-23
"ABCA10","OSMAN_BLOOD_CHAD63_KH_AGE_18_50YO_HIGH_DOSE_SUBJECTS_24HR_DN",6.2925629356665,10.305747513433,-4.0131845777665,3.73154641962497e-65,1.74263217796486e-62
"ABCA12","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_UP",8.70103614682779,7.35381020801253,1.34722593881526,6.6301655370956e-07,9.19999714062102e-07
"ABCA13","QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_0DY_UP",4.14058689999893,6.18018703825193,-2.039600138253,7.80072461011691e-15,1.56014492202338e-14
"ABCA5","GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN",9.82330145494928,11.522285777465,-1.69898432251572,4.01846897728945e-56,5.35795863638594e-55
"ABCA6","GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_DN",8.05263299890721,10.964397444224,-2.91176444531679,5.55815279406357e-58,4.71593884852257e-57
"ABCA8","GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN",7.79043133629935,12.2276041658329,-4.43717282953355,4.0356466078213e-62,9.33243278058676e-61
"ABCA9","GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP",7.35980321837888,11.276816718684,-3.91701350030512,1.18076403981164e-62,3.91620073204193e-61
"ABCB1","GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP",7.67835864336193,10.1114818873994,-2.43312324403747,7.53809328989318e-54,6.68149177967804e-53
"ABCB11","GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP",4.03379999206759,5.09891569383152,-1.06511570176393,4.61879058806289e-23,1.42893833818196e-22
"ABCB5","GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP",4.34402471522885,8.03694555511287,-3.69292083988402,6.98570721846313e-58,2.10735501090305e-56
"ABCC6","GSE3720_UNSTIM_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_DN",7.32558164758325,9.00948383698386,-1.68390218940061,2.99224761865685e-25,7.8995337132541e-25
"ABCC6P1","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP",4.00726685261539,5.37191764215679,-1.3646507895414,8.1844392191324e-29,2.91860191021891e-28
"ABCC9","GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP",9.0914585751708,11.0321772058174,-1.9407186306466,3.83773987205798e-36,1.69713385453231e-35
"ABCD2","GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_8H_DN",5.96405581199577,9.23764859974794,-3.27359278775217,3.02177595199233e-48,1.75201169479774e-47
"ABCG2","GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN",7.55540351970802,9.23108530576041,-1.67568178605239,1.12658172830806e-45,3.81892111290866e-45
"ABHD11","GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_16H_UP",11.3413753770924,10.1977650395556,1.1436103375368,2.15302450506424e-38,7.75088821823128e-38
"ABHD17C","GSE7852_LN_VS_THYMUS_TCONV_DN",10.628470480117,9.41402961458648,1.21444086553052,6.08873942687925e-36,2.64727801168663e-35
"ABHD6","GSE13306_TREG_VS_TCONV_UP",8.45286232421503,9.68413773957476,-1.23127541535973,1.74951621469341e-35,7.69787134465101e-35
"ABI3BP","GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_DN",9.79246176551272,12.4854430492197,-2.69298128370698,4.93199623047767e-44,3.25511751211526e-43
"ABLIM1","GSE39556_CD8A_DC_VS_NK_CELL_UP",12.6501717961465,14.1407846433307,-1.4906128471842,1.89379459449597e-57,2.10421621610664e-56
"ABLIM3","GSE5503_LIVER_DC_VS_MLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",10.6274978133654,12.2177403638403,-1.5902425504749,5.30406136476139e-34,1.96446717213385e-33
"ABO","GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_UP",6.9998753711081,8.94518846365013,-1.94531309254203,2.35993514424203e-30,8.98590689538311e-30
"ABRACL","GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_DN",10.9256617135812,9.81228759779879,1.11337411578241,5.36412604669561e-36,1.75872985137561e-35
"ABTB3","HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_DN",7.61117665153718,9.3205034289904,-1.70932677745322,1.91019153796205e-31,7.00403563919419e-31
"ACACB","GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_20MIN_UP",10.2515624996831,13.4255026620049,-3.1739401623218,6.89798090365353e-58,1.1209218968437e-56
"ACADL","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",4.69776189618342,8.69529352814181,-3.99753163195839,6.03112964247455e-54,1.69890975844353e-53
