EGFR,FGF2,FOXO4,IL6,CDKN2A,SLC25A37,MYC,STEAP1,CP
2.2926812,1.3777001,1.709518,0.5806061,1.1756613,0.5957019,0.6133362,-0.5175439,-0.065356426
1.9998899,1.3122979,0.83219016,0.32574987,1.3416498,0.53089726,0.80959713,0.92655164,-0.06676986
2.2174506,1.4597522,0.76176697,0.36680594,-0.5214053,0.7754198,1.0411304,0.99573976,-0.2398346
2.0201204,1.3314518,1.4588466,0.88200545,1.3138863,0.5738366,-0.06263511,0.8333575,-0.0730199
2.628113,1.466337,0.9116544,0.24181892,1.2309558,0.19303602,0.7424871,-0.36820447,-0.19253764
2.1072435,0.3361492,1.6992515,0.3422028,0.66105705,0.70241666,0.79835653,1.034654,0.17057107
2.2018514,1.4288177,1.8205941,0.05961446,0.93593585,0.44796234,0.64528906,-0.46404862,0.16308026
2.6246622,0.15924054,1.3438697,0.3149352,1.2785025,0.7049283,0.8697814,-0.45519084,-0.058028392
2.0747318,1.3032039,1.3948863,0.32895344,0.7106392,0.4207329,0.8150557,0.87536997,-0.0730199
2.5631025,0.40296546,0.841401,0.8309351,1.9821348,0.5749963,-0.054591082,-0.671772,-0.1123881
-4.769293,-1.3265995,-2.5995252,-0.9076535,-1.253858,-0.44758406,-0.45012528,-0.6446724,0.20183401
2.493382,0.32294777,-0.19802445,0.437644,-0.90573794,0.014788486,-0.595663,1.4073771,0.16186652
1.9481233,1.3060087,0.93434685,0.32858366,1.1094775,0.57471913,0.80638695,0.9228949,0.16332017
2.1173737,1.3329608,1.4015558,0.32201332,1.3674262,0.3781381,0.65098226,-0.0038988963,-0.050088488
2.846707,1.8757029,0.09461636,0.2682713,-0.8427484,0.8911092,1.0945956,-0.5362976,-0.09704826
2.354012,1.3656353,0.3224335,0.32574987,1.2701453,0.41531083,0.8590313,1.0259838,-0.03650766
2.0156407,1.2969147,1.4844526,0.33178723,0.52219164,0.6552063,0.7622694,0.8644405,0.16438107
0.16537952,0.39072743,1.7754174,0.3052557,-1.1167432,0.68804383,1.2442541,1.2272035,-0.30226016
1.462813,1.270932,1.3586019,0.4244521,1.5673094,-0.720064,0.6924219,0.8089914,-0.096803
2.217416,1.3838823,0.8938364,0.3191194,1.2286777,0.63063973,0.7979386,-0.25897968,-0.050088488
0.58263123,0.0051351488,2.4458556,0.31790763,2.422468,-0.7931559,-0.2842154,-0.23344727,0.1842897
2.7370408,0.4351054,0.56394243,0.9925412,1.5798804,0.2769311,0.7975539,0.9933204,0.0203823
-4.8092084,-1.5759257,-2.4718297,-0.84688103,0.07617502,0.9099137,-0.50578886,-0.48952192,-0.07676611
-3.762449,-1.2671939,-2.389425,0.8846463,-1.4707435,-0.1166219,-0.35283554,-0.61505723,-0.44488382
2.112894,1.321334,0.894876,0.22638454,1.3642713,0.18843547,0.80920506,0.8780202,-0.10756659
2.0911057,0.1759747,-2.3867295,1.109919,1.7375021,0.2604344,-0.9523367,0.95324355,0.06798965
-4.850606,-0.43414205,-3.8808165,-0.91099596,0.33754146,-0.18463871,-0.2974537,-0.63208526,0.07301358
2.303102,1.3915901,1.5803971,0.25693545,1.0787773,0.5655426,0.62448454,-0.26507866,-0.050088488
2.8716927,2.0384986,-2.1533437,0.38517,0.45595914,0.35116547,-0.9385988,-0.36774033,0.058273464
2.285031,1.4575138,1.6577606,0.26922458,1.3595675,0.64791703,-0.091827,-0.46306515,-0.30209076
2.735354,1.4967945,0.15660259,0.29507434,0.95421064,0.40068352,0.8066541,-0.51858306,0.10509735
2.1075852,1.2370332,0.1857104,1.0022613,0.8411556,0.10609734,-0.8325357,0.9706145,0.01940561
